,﻿
儣,kuǎng
儤,bào
儥,yù
儦,biāo
儧,zǎn
儨,zhì
儩,sì
優,yōu
儫,háo
儬,qìng
儭,chèn
儮,lì
儯,téng
儰,wěi
儱,lǒng
儲,chǔ
儳,chán
儴,ráng
儵,shū
儶,huì
儷,lì
儸,luó
儹,zǎn
儺,nuó
儻,tǎng
儼,yǎn
儽,léi
儾,nàng
兂,zān
兇,xiōng
兊,duì
兌,duì
兎,tù
兏,cháng
児,ér
兒,ér
兓,jīn
兗,yǎn
兘,shǐ
兙,兙
兛,qiān
兝,fēn
兞,máo
兟,shēn
兠,dōu
兡,兡
兣,lǐ
兤,huǎng
兦,wáng
內,nèi
兩,liǎng
兪,yú
兯,han
兲,tiān
兺,fēn
兾,jì
兿,yì
冃,mào
冄,rǎn
円,yuán
冇,mǎo
冊,cè
冋,jiōng
冎,guǎ
冏,jiǒng
冐,mào
冑,zhòu
冓,gòu
冔,xǔ
冘,yín
冚,kǎn
冝,yí
冞,mí
冟,shì
冡,méng
冣,jù
冦,kòu
冧,lín
冨,fù
冩,xiě
冪,mì
冭,tài
冮,gāng
冴,hù
冸,pàn
冹,fú
冺,mǐn
冾,qià
冿,jiān
凁,sōu
凂,měi
凃,tú
凅,gù
凈,jìng
凊,qìng
凍,dòng
凎,gàn
凐,yīn
凒,ái
凓,lì
凔,chuàng
凕,mǐng
凖,zhǔn
凗,cuī
凘,sī
凙,duó
凚,jìn
凜,lǐn
凞,xī
凟,dú
凢,fán
凣,fán
凥,jū
処,chǔ
凧,zhēng
凨,fēng
凩,mù
凪,zhǐ
凬,fēng
凮,fēng
凱,kǎi
凲,gān
凴,píng
凷,kuài
凾,hán
刄,rèn
刅,chuāng
刉,jī
刋,qiàn
刌,cǔn
刏,jī
刐,dǎn
刓,wán
刔,jué
刕,lí
刜,fú
刞,qù
刟,diāo
刡,mǐn
刢,líng
刣,zhōng
別,bié
刦,jié
刧,jié
刪,shān
刬,chǎn
刯,gēng
刱,chuàng
刲,kuī
刴,duò
刵,èr
刼,jié
刾,cì
剄,jǐng
剅,lóu
剆,luǒ
則,zé
剈,yuān
剉,cuò
剋,kè
剎,shā
剏,chuàng
剒,cuò
剓,lí
剕,fèi
剗,chǎn
剘,qí
剙,chuàng
剚,zì
剛,gāng
剝,bō
剟,duō
剠,qíng
剢,dū
剣,jiàn
剤,jì
剦,yān
剨,huō
剫,duó
剬,duān
剭,wū
剮,guǎ
剰,shèng
剱,jiàn
剳,dá
剴,kǎi
創,chuàng
剶,chuān
剷,chǎn
剸,tuán
剹,lù
剺,lí
剻,pěng
剼,shān
剾,kōu
劀,guā
劃,huà
劄,zhā
劅,zhuó
劆,lián
劇,jù
劉,liú
劊,guì
劋,jiǎo
