--  --------二简词提示---------
-- 功能：全码提示简码
$cmd(功能,_gn)	gsng
$cmd(根本,_gb)	gfbf
$cmd(过去,_gq)	goqu
$cmd(沟通,_gt)	gzts
$cmd(公平,_gp)	gspk
$cmd(干嘛,_gm)	gjma
$cmd(湖南,_hn)	hunj
$cmd(好处,_hi)	hciu
$cmd(后面,_hm)	hzmm
$cmd(回去,_hq)	hvqu
$cmd(害怕,_hp)	hdpa
$cmd(何必,_hb)	hebi
$cmd(后天,_ht)	hztm
$cmd(产品,_ip)	ijpb
$cmd(出现,_ix)	iuxm
$cmd(成本,_ib)	igbf
$cmd(承诺,_in)	igno
$cmd(重启,_iq)	isqi
$cmd(重码,_im)	isma
$cmd(解决,_jj)	jpjt
$cmd(结果,_jg)	jpgo
$cmd(金额,_je)	jbee
$cmd(几乎,_jh)	jihu
$cmd(解放,_jf)	jpfh
$cmd(骄傲,_ja)	jnao
$cmd(节奏,_jz)	jpzz
$cmd(奇偶,_jo)	jiou
$cmd(可能,_kn)	keng
$cmd(开头,_kt)	kdtz
$cmd(昆明,_km)	kymk
$cmd(开车,_ki)	kdie
$cmd(恐怖,_kb)	ksbu
$cmd(恐怕,_kp)	kspa
$cmd(况且,_kq)	klqp
$cmd(论坛,_lt)	lytj
$cmd(了解,_lj)	lnjp
$cmd(浪费,_lf)	lhfw
$cmd(没有,_my)	mwyz
$cmd(目前,_mq)	muqm
$cmd(明显,_mx)	mkxm
$cmd(明天,_mt)	mktm
$cmd(默认,_mr)	morf
$cmd(难道,_nd)	njdc
$cmd(脑子,_nz)	nczi
$cmd(欧洲,_ov)	ouvz
$cmd(偶尔,_oe)	ouer
$cmd(偶然,_or)	ourj
$cmd(偶像,_ox)	ouxl
$cmd(欧阳,_oy)	ouyh
$cmd(呕吐,_ot)	outu
$cmd(培训,_px)	pwxy
$cmd(平台,_pt)	pktd
$cmd(配置,_pv)	pwvi
$cmd(漂亮,_pl)	pnll
$cmd(脾气,_pq)	piqi
$cmd(配送,_ps)	pwss
$cmd(普洱,_pe)	puer
$cmd(骗人,_pr)	pmrf
$cmd(拼音,_py)	pbyb
$cmd(其中,_qv)	qivs
$cmd(确定,_qd)	qtdk
$cmd(缺乏,_qf)	qtfa
$cmd(其次,_qc)	qici
$cmd(亲自,_qz)	qbzi
$cmd(奇怪,_qg)	qigk
$cmd(全额,_qe)	qree
$cmd(切换,_qh)	qphr
$cmd(群殴,_qo)	qyou
$cmd(日期,_rq)	riqi
$cmd(认为,_rw)	rfww
$cmd(日本,_rb)	ribf
$cmd(热线,_rx)	rexm
$cmd(认真,_rv)	rfvf
$cmd(人们,_rm)	rfmf
$cmd(容易,_ry)	rsyi
$cmd(人类,_rl)	rflw
$cmd(认可,_rk)	rfke
$cmd(热爱,_ra)	reai
$cmd(认同,_rt)	rfts
$cmd(热闹,_rn)	renc
$cmd(人品,_rp)	rfpb
$cmd(认得,_rd)	rfde
$cmd(所以,_sy)	soyi
$cmd(思想,_sx)	sixl
$cmd(思考,_sk)	sikc
$cmd(所谓,_sw)	soww
$cmd(似乎,_sh)	sihu
$cmd(随便,_sb)	svbm
$cmd(索取,_sq)	soqu
$cmd(算了,_sl)	srle
$cmd(锁屏,_sp)	sopk
$cmd(随你,_sn)	svni
$cmd(洒脱,_st)	sato
$cmd(特别,_tb)	tebp
$cmd(讨论,_tl)	tcly
$cmd(同学,_tx)	tsxt
$cmd(天气,_tq)	tmqi
$cmd(天天,_tt)	tmtm
$cmd(头发,_tf)	tzfa
$cmd(首先,_ux)	uzxm
$cmd(事情,_uq)	uiqk
$cmd(身体,_ut)	ufti
$cmd(上面,_um)	uhmm
$cmd(顺便,_ub)	uybm
$cmd(双拼,_up)	ulpb
$cmd(这样,_vy)	veyh
$cmd(掌握,_vw)	vhwo
$cmd(准备,_vb)	vybw
$cmd(正确,_vq)	vgqt
$cmd(这么,_vm)	veme
$cmd(折腾,_vt)	vetg
$cmd(只怕,_vp)	vipa
$cmd(我们,_wm)	womf
$cmd(问题,_wt)	wfti
$cmd(完成,_wi)	wjig
$cmd(为了,_wl)	wwle
$cmd(完全,_wq)	wjqr
$cmd(唯一,_wy)	wwyi
$cmd(微软,_wr)	wwrr
$cmd(为此,_wc)	wwci
$cmd(无奈,_wn)	wund
$cmd(唯恐,_wk)	wwks
$cmd(网盘,_wp)	whpj
$cmd(现在,_xz)	xmzd
$cmd(需要,_xy)	xuyc
$cmd(希望,_xw)	xiwh
$cmd(喜欢,_xh)	xihr
$cmd(西安,_xa)	xian
$cmd(相当,_xd)	xldh
$cmd(习惯,_xg)	xigr
$cmd(相反,_xf)	xlfj
$cmd(下周,_xv)	xxvz
$cmd(要求,_yq)	ycqq
$cmd(因为,_yw)	ybww
$cmd(应该,_yg)	ykgd
$cmd(原来,_yl)	yrld
$cmd(缘分,_yf)	yrff
$cmd(郁闷,_ym)	yumf
$cmd(自己,_zj)	ziji
$cmd(作品,_zp)	zopb
$cmd(自然,_zr)	zirj
$cmd(怎么,_zm)	zfme
$cmd(怎样,_zy)	zfyh
$cmd(昨天,_zt)	zotm
$cmd(走了,_zl)	zzle
$cmd(暂且,_zq)	zjqp
$cmd(怎能,_zn)	zfng
$cmd(咋不,_zb)	zabu
$cmd(最快,_zk)	zvkk
$cmd(参加,_cj)	cjjx
$cmd(从前,_cq)	csqm
$cmd(电脑,_dn)	dmnc
$cmd(打算,_ds)	dasr
$cmd(等着,_dv)	dgve
$cmd(分钟,_fv)	ffvs
$cmd(发送,_fs)	fass
$cmd(否则,_fz)	fzze
$cmd(刚刚,_gg)	ghgh
$cmd(感觉,_gj)	gjjt
$cmd(公司,_gs)	gssi
$cmd(更新,_gx)	ggxb
$cmd(规则,_gz)	gvze
$cmd(跟着,_gv)	gfve
$cmd(绝对,_jd)	jtdv
$cmd(尽管,_jg)	jbgr
$cmd(渐渐,_jj)	jmjm
$cmd(困难,_kn)	kynj
$cmd(慢慢,_mm)	mjmj
$cmd(每天,_mt)	mwtm
$cmd(情况,_qk)	qkkl
$cmd(前面,_qm)	qmmm
$cmd(恰恰,_qq)	qxqx
$cmd(仍然,_rr)	rgrj
$cmd(虽然,_sr)	svrj
$cmd(搜索,_ss)	szso
