bfbd	边防部队
bfbu	边防部署
bfdv	边防斗争
bfgi	边防观察
bfgl	边防管理
bfhu	边防会哨
bfht	边防会谈
bfhw	边防会晤
bfju	边防建设
bfqf	边防潜伏
bfqw	边防勤务
bfus	边防哨所
bfxl	边防巡逻
bfyx	边防一线
bfvj	边防站
bfvi	边防侦察
bfvc	边防政策
bgbu	变更部署
bmgv	变轨
bhle	变后掠翼
bhlj	变后掠翼飞机
bhbx	变换保险
bhmc	变幻莫测
bhvv	变换战术
bjhe	边集合
bjit	边界冲突
bjhl	边界河流
bjlv	边界联合检查
bjuj	边界事件
bjuw	边界守卫
bjtv	边界踏查
bjxm	边界线
bjxv	边界现状
bjdq	边境地区
bjgi	边境观察
bjgl	边境管理
bjjq	边境禁区
bjkc	边境勘测
bjqf	边境潜伏
bjuw	边境涉外事务
bjui	边境市
bjxm	边境县
bjjf	边掘进边被覆
bmtx	编码通信
bmxt	编码学
bmnw	编内
bnvg	编内职工
bpbl	编配比例
bqjb	边前进
bryy	编入预备役
bwdb	编外定编
bwvg	编外职工
bxgj	变相拘禁
bxsf	变相私分
pxui	便携式
bxde	变形地
bxmc	变形迷彩
bxmc	变形迷彩图册
bxql	变型枪
bxvv	变形遮障
pyxh	便于携行
byfh	边缘发火
bmvj	变战
bvbn	编制表
bvbv	编制标准
bvfa	编制方案
bvjx	编制军衔
bvmm	编制密码
bvjt	编制系统
bvye	编制员额
bvvw	编制职务
bmvz	边舟
bzbl	边走边联络
bmzu	编组
bzlx	编组练习
bzvd	边组织战斗
bzzy	编组作业
bnii	表尺
bijl	表尺距离
biui	表尺射程
biuz	标尺手
biwj	表尺危险界
bizo	表尺座
bndc	镖刀
bndk	标定
bddt	标定地图
bduj	标定射击
bngc	标高
bnks	标孔
bmvr	表面沾染
bmvd	表面阵地
bmvf	表明执法身份
buug	标示绳
butl	标示通路
blzy	表率作用
bntu	标图
bvhl	表彰和奖励
bvdj	标志弹
bvdt	标志灯塔
bvdg	标准导轨
bvjk	标准接口
bvpl	标准排水量
bvuj	标准射击条件
bvui	标准时
bvxk	标准型
bbhd	濒海
bhgk	滨海港口
bhev	濒海翼侧
bkvy	宾客之用
bblu	濒陆
blhq	濒陆海区
bxfh	宾夕法尼亚号
bbyv	兵不厌诈
bkcc	兵曹
bkfa	兵法
bfyd	兵非益多
bgbn	兵诡必疑
bgus	兵贵神速
bjtj	并肩突击
bjbk	兵教兵
bjgr	兵教官
bkli	兵力
blbz	兵力编组
bldb	兵力对比
bljd	兵力机动
blqf	兵力区分
bkbc	并炮
bkpm	柄片
bkqi	兵棋
bqie	兵器车
bqjt	兵器系统
bqzy	兵棋作业
bqgy	兵权贵一
budi	冰上渡场
budh	冰上渡河
buxm	丙射线
buxl	丙射线照射量
bmiu	兵无常势
bkxb	柄芯
bxvw	冰雪障碍物
bydv	兵要地志
byfa	兵役法
byju	兵以静胜
byju	兵役局
bywh	兵役委员会
byvd	兵役制度
byvc	兵役制度名词
bkyr	兵员
bybt	兵员补退
bydh	兵员动员计划
